atom_index,attention_max,attention_mean
1,1.0,0.7628464
2,0.80074245,0.56852514
3,0.92574817,0.6911644
4,0.8688772,0.6421745
5,0.8717759,0.6497661
6,0.9233941,0.70673937
7,0.89565444,0.67574835
8,0.93228143,0.69536334
9,0.92649406,0.65275496
10,0.926865,0.6728132
11,0.90495384,0.64158654
12,0.8265035,0.5722601
13,0.922417,0.68788
14,0.8349452,0.575642
15,0.915461,0.6825122
16,0.92649406,0.6527547
17,0.926865,0.6728131
18,0.90495384,0.6415865
19,0.8265035,0.5722601
20,0.922417,0.68788
21,0.8349452,0.575642
22,0.915461,0.6825122
23,0.92649406,0.6527547
24,0.926865,0.6728131
25,0.90495384,0.6415865
26,0.8265035,0.5722601
27,0.922417,0.68788
28,0.8349452,0.575642
29,0.915461,0.6825122
30,0.92649406,0.6527547
31,0.926865,0.6728131
32,0.90495384,0.6415865
33,0.8265035,0.5722601
34,0.922417,0.68788
35,0.8349452,0.575642
36,0.915461,0.6825122
37,0.92649406,0.6527547
38,0.926865,0.6728131
39,0.90495384,0.6415865
40,0.8265035,0.5722601
41,0.922417,0.68788
42,0.8349452,0.575642
43,0.915461,0.6825122
44,0.92649406,0.6527547
45,0.926865,0.6728131
46,0.90495384,0.6415865
47,0.8265035,0.5722601
48,0.922417,0.68788
49,0.8349452,0.575642
50,0.915461,0.6825122
51,0.92649406,0.6527547
52,0.926865,0.6728131
53,0.90495384,0.6415865
54,0.8265035,0.5722601
55,0.922417,0.68788
56,0.8349452,0.575642
57,0.915461,0.68251204
58,0.93228143,0.6953634
59,0.89565444,0.67574835
60,0.9233941,0.70673937
61,0.87177646,0.6497662
62,0.8688772,0.64217454
63,0.80074245,0.568525
64,1.0,0.7628464
65,0.92574817,0.6911645
66,0.93228143,0.6953634
67,0.89565444,0.67574835
68,0.9233941,0.70673937
69,0.87177646,0.6497662
70,0.8688772,0.64217454
71,0.80074245,0.568525
72,1.0,0.7628464
73,0.92574817,0.6911645
74,0.93228143,0.6953634
75,0.89565444,0.67574835
76,0.9233941,0.70673937
77,0.87177646,0.6497662
78,0.8688772,0.64217454
79,0.80074245,0.568525
80,1.0,0.7628464
81,0.92574817,0.6911645
82,0.93228143,0.6953634
83,0.89565444,0.67574835
84,0.9233941,0.70673937
85,0.87177646,0.6497662
86,0.8688772,0.64217454
87,0.80074245,0.568525
88,1.0,0.7628464
89,0.92574817,0.6911645
90,0.93228143,0.6953634
91,0.89565444,0.67574835
92,0.9233941,0.70673937
93,0.87177646,0.6497662
94,0.8688772,0.64217454
95,0.80074245,0.568525
96,1.0,0.7628464
97,0.92574817,0.6911645
98,0.93228143,0.6953634
99,0.89565444,0.67574835
100,0.9233941,0.70673937
101,0.87177646,0.6497662
102,0.8688772,0.64217454
103,0.80074245,0.568525
104,1.0,0.7628464
105,0.92574817,0.6911645
